time,Naive T-cells,helper T-cells,cytotoxic cells,Treg-cells,Naive Dendritic cells,Dendritic cells,Macrophages,Cancer,Necrotic cells,\mu_1,\mu_2,HMGB1,IFN-\gamma,TNF-eta
2763.0,1.0041142732709976,0.9971488723266798,0.9991697784766038,1.0026627991782495,1.0454690419633141,0.9946565359085002,0.9986547468517799,0.9697367347615474,0.9276069411822323,0.998491661268734,0.9991386407182618,0.9300937220043821,0.998558994060406,0.9993297059170032
2764.0,1.0040966026393974,0.9971610834567101,0.9991733515566649,1.0026513565269495,1.0452829942614374,0.9946793737643358,0.9986605388307397,0.9698686724752986,0.9278852812854852,0.9984981495402175,0.9991423461067384,0.9303625185958839,0.9985651802442207,0.999332595571984
2765.0,1.0040790101191455,0.9971732409099126,0.9991769087879662,1.0026399645415898,1.0450976782392543,0.9947021116411919,0.9986663050478307,0.9700000531541391,0.9281626571484355,0.9985046090095919,0.9991460350400656,0.9306303838404983,0.9985713391094002,0.9993354723355804
2766.0,1.0040614953413627,0.9971853449391995,0.9991804502478773,1.0026286229938821,1.0449130911760949,0.9947247500069976,0.9986720456263981,0.9701308789921506,0.928439071426766,0.9985110398140329,0.9991497075987682,0.9308973203049258,0.9985774707867456,0.9993383362719244
2767.0,1.004044057939093,0.9971973957962662,0.9991839760133039,1.0026173316580373,1.0447292303597668,0.994747289327724,0.9986777606891439,0.970261152176077,0.9287145267732736,0.9985174420899728,0.9991533638631789,0.9311633305530659,0.9985835754063905,0.9993411874450335
2768.0,1.0040266975472874,0.9972093937316018,0.9991874861606829,1.0026060903108007,1.0445460930864945,0.9947697300674189,0.9986834503581312,0.9703908748853324,0.928989025837828,0.9985238159731056,0.9991570039134481,0.9314284171459771,0.9985896530978018,0.9993440259188214
2769.0,1.004009413802786,0.9972213389944995,0.9991909807659777,1.0025948987314846,1.0443636766608602,0.9947920726882385,0.9986891147547887,0.9705200492920084,0.9292625712673305,0.9985301615983904,0.9991606278295554,0.9316925826418374,0.9985957039897817,0.9993468517571067
2770.0,1.0039922063443032,0.9972332318330681,0.9991944599046733,1.0025837567020028,1.0441819783957442,0.9948143176504833,0.9986947539999158,0.9706486775608821,0.9295351657056715,0.9985364791000557,0.9991642356913198,0.9319558295959048,0.9986017282104691,0.9993496650236228
2771.0,1.0039750748124094,0.9972450724942418,0.999197923651771,1.0025726640069055,1.0440009956122662,0.9948364654126297,0.9987003682136866,0.9707767618494239,0.929806811793691,0.9985427686116036,0.9991678275784108,0.9322181605604773,0.9986077258873407,0.9993524657820275
2772.0,1.003958018849516,0.9972568612237913,0.9992013720817844,1.0025616204334111,1.0438207256397247,0.9948585164313647,0.9987059575156548,0.9709043043078053,0.9300775121691355,0.998549030265814,0.9991714035703589,0.9324795780848533,0.9986136971472129,0.9993552540959125
2773.0,1.003941038099857,0.9972685982663345,0.9992048052687339,1.0025506257714427,1.043641165815538,0.9948804711616193,0.9987115220247588,0.9710313070789064,0.9303472694666177,0.9985552641947484,0.9991749637465661,0.932740084715292,0.9986196421162431,0.9993580300288132
2774.0,1.003924132209474,0.9972802838653468,0.9992082232861418,1.0025396798136597,1.0434623134851855,0.9949023300566018,0.9987170618593253,0.9711577722983242,0.9306160863175746,0.9985614705297543,0.9991785081863173,0.9329996829949739,0.9986255609199307,0.9993607936442176
2775.0,1.0039073008219102,0.9972919182565402,0.9992116261975483,1.0025287822962683,1.0432841660245,0.9949240935544079,0.9987225771364263,0.9712837020967979,0.9308839653549458,0.9985676494020193,0.9991820369589006,0.9332583754682839,0.9986314536744884,0.9993635449950562
2776.0,1.0038905435303156,0.9973035015938284,0.999215013950668,1.0025179322378122,1.0431067210891751,0.9949457619281813,0.9987280679646398,0.9714090986272116,0.9311509092658182,0.9985738009487172,0.9991855500132084,0.9335161647290401,0.9986373203904814,0.9993662840062466
2777.0,1.0038738600296468,0.9973150341847435,0.9992183867138675,1.0025071300414377,1.04292997582128,0.9949673357626261,0.998733534467082,0.9715339639787792,0.9314169206238819,0.9985799252934855,0.9991890475287679,0.9337730532669993,0.9986431612791838,0.9993690108481463
2778.0,1.0038572499707727,0.997326516264844,0.9992217445536912,1.0024963754802443,1.0427539276095843,0.9949888154974044,0.998738976759344,0.9716583002593013,0.9316820020499167,0.9985860225651432,0.9991925295793498,0.9340290436148816,0.9986489764589839,0.9993717255786715
2779.0,1.0038407130061306,0.9973379480683592,0.9992250875358175,1.0024856683280925,1.0425785738514302,0.9950102015701374,0.9987443949564048,0.9717821095694216,0.9319461561614906,0.9985920928918356,0.9991959962383021,0.9342841383022864,0.998654766047306,0.999374428255358
2780.0,1.003824248789705,0.9973493298281927,0.9992284157250442,1.0024750083595737,1.0424039119526978,0.9950314944164242,0.9987497891726363,0.971905394002637,0.9322093855729243,0.998598136401039,0.9991994475785506,0.9345383398556573,0.9986605301606037,0.9993771189353599
2781.0,1.0038078569770068,0.9973606617759256,0.9992317291852726,1.0024643953499799,1.0422299393277696,0.9950526944698612,0.9987551595218066,0.9720281556453086,0.932471692895255,0.9986041532195659,0.9992028836725991,0.9347916507982477,0.9986662689143521,0.9993797976754468
2782.0,1.0037915372250505,0.9973719441418203,0.9992350279794934,1.0024538290752731,1.042056653399496,0.9950738021620609,0.9987605061170841,0.972150396576672,0.9327330807361993,0.9986101434735689,0.9992063045925285,0.935044073650085,0.9986719824230383,0.9993824645320029
